Timestamp,Email Address,Name,Self Estimate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4/5/2023 15:03:17,1@email.com,User 1,5,8,8,4,8,4,1,2,1,1,2,15,15,20,NA,46,20,4,10,20,85
4/6/2023 6:23:33,2@email.com,User 2,5,10,9,5,8,4,4,2,3,1,2,15,NA,28,25,45,10,8,24,16.67,85
4/7/2023 1:34:30,3@email.com,User 3,6,7,8,5,6,3,4,2,1,1,2,25,12,30,NA,10,10,4,10,20,85
4/7/2023 3:38:05,4@email.com,User 4,3,7,10,4,6,4,3,1,3,1,2,17,12,25,25,15,24,12,14,17,83
4/7/2023 12:49:23,5@email.com,User 5,3,4,6,3,4,3,2,1,3,2,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
4/7/2023 16:01:59,6@email.com,User 6,6,5,5,2,6,3,4,2,3,1,1,28,39,36,29,9,10,8,10,20,92
4/7/2023 18:17:45,7@email.com,User 7,7,7,8,4,9,4,4,2,3,1,3,30,15,30,20,5,30,5,4,2,90
4/8/2023 3:12:06,8@email.com,User 8,7,6,8,4,6,3,3,2,3,3,1,28,9,NA,20,NA,10,4,NA,10,80
4/8/2023 3:50:16,9@email.com,User 9,8,7,7,3,5,3,3,2,2,3,2,11,23,23,NA,20,NA,6,15,16.67,86
4/8/2023 7:22:47,10@email.com,User 10,6,8,8,3,7,4,3,2,3,1,1,40,15,40,30,10,20,12,20,20,90
4/8/2023 8:57:26,11@email.com,User 11,6,5,8,4,9,3,3,2,1,1,2,16.67,3,10,20,30,10,3,10,20,90
4/8/2023 11:06:41,12@email.com,User 12,7,7,8,4,8,3,3,2,3,3,2,16,14,25,40,15,15,5,15,10,90
4/8/2023 15:48:21,13@email.com,User 13,6,6,6,3,6,3,1,1,1,3,2,15,10,20,30,20,25,4,4,20,86
4/8/2023 19:37:16,14@email.com,User 14,6,8,8,4,6,3,3,1,3,1,2,21.2,58,NA,28.6,236,NA,4,NA,16.6,NA
